order_detail_id,order_id,item_id,quantity
1,1096,200,1
2,961,117,5
3,1856,121,5
4,1503,85,4
5,723,246,3
6,593,43,1
7,1424,237,5
8,1535,78,5
9,534,16,4
10,1185,44,5
11,106,169,3
12,1657,189,5
13,56,74,4
14,169,33,5
15,158,218,3
16,517,34,5
17,576,71,3
18,30,190,1
19,1237,45,5
20,1514,39,4
21,758,207,2
22,536,201,2
23,994,47,5
24,1766,9,3
25,173,248,2
26,1220,240,2
27,1716,127,4
28,1578,99,2
29,1354,113,2
30,432,148,3
31,112,165,3
32,1548,210,1
33,108,43,4
34,817,122,3
35,976,192,5
36,479,98,4
37,972,68,2
38,1087,223,4
39,25,74,4
40,783,174,3
41,1970,136,1
42,200,235,5
43,1306,91,4
44,1251,236,3
45,687,70,3
46,1644,26,3
47,1341,150,4
48,945,198,2
49,1504,173,5
50,1578,50,5
51,692,174,2
52,642,141,1
53,1378,3,1
54,25,106,1
55,1076,27,4
56,720,57,3
57,516,50,1
58,49,159,1
59,117,241,5
60,1345,229,2
61,1947,154,1
62,1451,246,1
63,177,220,5
64,267,97,5
65,1645,248,2
66,1836,29,2
67,519,76,4
68,1353,240,1
69,1309,117,3
70,1576,110,3
71,528,42,1
72,568,199,1
73,784,100,3
74,124,67,3
75,365,113,1
76,1008,238,2
77,1250,101,2
78,1322,126,1
79,295,139,4
80,448,158,1
81,1870,114,3
82,212,9,1
83,145,147,3
84,1592,115,1
85,1837,128,2
86,1338,164,1
87,1911,10,4
88,546,39,3
89,1853,101,5
90,8,132,4
91,980,112,4
92,1729,187,1
93,1107,58,1
94,788,245,4
95,249,146,5
96,1915,92,3
97,1397,78,4
98,114,162,1
99,749,137,3
100,165,216,4
101,1558,197,3
102,1327,52,2
103,1136,11,4
104,1354,49,3
105,1426,100,1
106,1292,177,3
107,997,22,4
108,1506,49,2
109,74,50,1
110,1475,152,2
111,1002,100,1
112,1624,139,3
113,1024,137,4
114,1980,5,1
115,695,15,3
116,1614,185,1
117,831,31,2
118,1653,168,5
119,939,241,5
120,306,190,5
121,478,237,1
122,76,189,2
123,1002,168,1
124,966,233,5
125,94,63,2
126,30,45,1
127,1853,79,1
128,935,157,2
129,1711,152,1
130,1675,210,1
131,234,128,5
132,1637,158,2
133,130,206,2
134,873,87,4
135,665,31,5
136,1118,36,3
137,1714,247,2
138,1566,12,5
139,356,86,1
140,248,71,2
141,1552,107,2
142,1427,95,5
143,338,113,2
144,1896,149,1
145,274,26,5
146,771,200,2
147,33,226,4
148,166,2,1
149,368,238,1
150,1448,167,5
151,1817,73,4
152,1421,207,4
153,1418,33,2
154,294,164,3
155,1072,116,4
156,490,241,2
157,1251,178,1
158,1222,47,4
159,1254,244,1
160,1285,212,3
161,713,108,1
162,1143,61,2
163,241,136,1
164,1268,93,5
165,1040,57,4
166,1578,161,2
167,567,14,2
168,231,204,2
169,1404,217,4
170,1019,46,2
171,1373,237,1
172,111,166,3
173,584,54,4
